Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Resultados anunciados pelo conselho eleitoral da Venezuela somam 132%,Checamos,https://checamos.afp.com/doc.afp.com.367E2Z2,Falso,2024-07-30 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXqn0JOKpUKZ6uX7wkzQX2r6L6jkKCu1L1GvB_7yUGq3R1a_HS,"['Eleição', 'Venezuela', 'Conselho Nacional Eleitoral']"
Lula gastou 300 bilhões para se eleger,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-enganoso-video-que-sugere-que-lula-admitiu-gastar-r-300-bilhoes-para-se-eleger/,"Enganoso: Na entrevista em que menciona esse valor, Lula se referia a Bolsonaro e não a si mesmo. A campanha de Bolsonaro gastou R$ 89 milhões e a de Lula R$ 131 milhões.",2024-08-08 07:00:00,,['Luiz Inácio Lula da Silva']
Vídeo mostra homens de Maduro roubando urnas,Estadão,https://www.estadao.com.br/estadao-verifica/homens-encapuzados-roubam-urnas-enganoso/,Falso,2024-07-31 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpJj0bCkbwlFBxmQrBDnVYYtMmyTxLGKyelNS0bFgNZy2GKaHL,"['Urna eleitoral', 'Nicolás Maduro', 'Vídeo', 'Homem']"
Lula diz que pobres só são úteis durante as eleições e que não é preciso cuidar deles,Aosfatos.org,https://www.aosfatos.org/noticias/falso-lula-disse-pobre-util-eleicoes/,falso,2024-06-24 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5akqLmowxgPHA8kvDmyyu4hqGmRAGl_PYevFgfZFZY3XNAsXc,"['Luiz Inácio Lula da Silva', 'Eleição', 'Pobreza']"
Mulher é agredida por não ter votado na vereadora do PT Edilene Pezão,AFP Checamos,https://checamos.afp.com/doc.afp.com.34WQ2GU,Falso,2024-06-14 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQRYEx3uEO6ZtQy27V69MTzrt-PTRA7jDOMg8BXPXKvC72-Ayl5,"['Vereador', 'Eleição', 'Partido dos Trabalhadores', 'Partido dos Trabalhadores', 'Mulher']"
"""O TRIBUNAL ELEITORAL REJEITOU O PROCESSO DE INEGILIBIDADE DO BOLSONARO! BOLSONARO DE VOLTA EM 2026!""",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/05/27/e-falso-que-tse-tenha-tornado-jair-bolsonaro-elegivel-para-2026.htm,Falso,2024-05-27 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcRPOJFmlk7jz4fjRXHyEBFLzPDscBfNRD7DSswYVBgOrJTPDWXR,"['Jair Bolsonaro', 'Tribunal Superior Eleitoral', 'Eleição', 'Processo judicial', 'Tribunal']"
"Soube que o partido muçulmano venceu as eleições em Bradford, no Reino Unido, simplesmente porque são maioria. Estes são os resultados da substituição populacional.A profecia de Kadafi está a tomar forma. Tomar Europa sem disparar um único tiro... Dá que pensar.",Observador,https://observador.pt/factchecks/fact-check-partido-muculmano-venceu-as-eleicoes-regionais-em-bradford-no-reino-unido/,Errado,2024-05-23 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Eleição', 'Partido político', 'Bradford', 'Reino Unido', 'Muammar Gaddafi', 'Profecia', 'Tomar', 'Europa']"
Elon Musk entrega documentos à autoridades dos EUA evidenciando interferência de Alexandre de Mores nas eleições de 2022.,Boatos.org,https://www.boatos.org/politica/elon-musk-entregou-documentos-a-autoridades-dos-eua-que-incriminam-alexandre-de-moraes.html,Falso,2024-04-11 07:00:00,,"['Alexandre de Moraes', 'Elon Musk', 'Documento', 'Estados Unidos', 'Eleição', '2022', 'Eleições presidenciais brasileiras, 2022']"
Elon Musk divulgou conversas de Moraes que mostram que eleições no Brasil foram uma farsa,Aosfatos.org,https://www.aosfatos.org/noticias/falso-elon-musk-revelou-conversas-alexandre-de-moraes-eleicoes-farsa/,falso,2024-04-09 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQNqVrQJRW7hdEIgiyc7RMpZ6N_cGqf84B_QbiK9WFf6U9acKVc,"['Elon Musk', 'Alexandre de Moraes', 'Eleição', 'Brasil', 'Eleições no Brasil', 'Embuste']"
Presidente eleito de Portugal tira sarro da petezada fazendo a dancinha da picanha,AFP Checamos,https://checamos.afp.com/doc.afp.com.34LU2MG,Falso,2024-03-19 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSNgRAMZQoignfq5AraLOXL16hZ7DKtD1gxhAKx8SN0IQ_0qu7u,"['Eleição', 'Presidente', 'presidente eleito', 'Portugal']"
Presidente eleito de Portugal fez ‘dancinha da picanha’,Aos Fatos,https://www.aosfatos.org/noticias/dancinha-da-picanha-deputado-extrema-direita-portugal/,falso,2024-03-14 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSbjDjkSpf3W3emw9TWHEBxumXP84hPqgf8YX_GIpRHkgFkSxVv,"['Presidente', 'Eleição', 'presidente eleito', 'Portugal']"
Presidente de Portugal eleito no domingo disse que Lula não entra em Portugal,Aosfatos.org,https://www.aosfatos.org/noticias/deputado-extrema-direita-presidente-portugal-proibir-entrada-lula/,falso,2024-03-13 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9Mvl4hZ_bWLFSIDUlC7mxmivKmUDeWxKgnNXFEP45T63Y5WH3,"['Luiz Inácio Lula da Silva', 'Presidente da República de Portugal', 'Presidente', 'Eleição', 'Portugal']"
"Viram o que aconteceu hoje com aquele candidato de Portugal aliado de Bolsonaro que disse que se caso ganhasse Lula não entraria em Portugal? Pois é, ele ganhou",UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/03/13/extrema-direita-nao-venceu-as-eleicoes-em-portugal-ficou-em-3.htm,Falso,2024-03-13 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSzKEBZ-YSQNp6r0xhgIylvgPfVssliaoHFqwoY6VpobjJZDskY,"['Portugal', 'Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Candidato']"
Ministro de Lula deixou escapar: eleito com 39%?,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/02/16/ministro-de-lula-se-referia-ao-total-de-eleitores-fala-nao-indica-fraude.htm,Distorcido,2024-02-16 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQAEI8-hMU7l8CrwX7GsoGFVzvYnoj4o4tBHi8NlgTAECmDfyai,"['Luiz Inácio Lula da Silva', 'Eleição', 'Ministro']"
"O PCP defende saída de Portugal do Euro e da União Europeia? ""O senhor deputado André Ventura vai ter de ler melhor o nosso programa eleitoral para tirar as conclusões.""",Observador,https://observador.pt/factchecks/fact-check-pcp-defende-saida-do-euro-e-da-uniao-europeia/,Inconclusivo,2024-02-10 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTOZTy-5T_NG-YF6cirt1_co7gO38gYwv1P_tEmuJdN6GwVnKqx,"['Partido Comunista Português', 'União Europeia', 'André Ventura', 'Europa', 'Portugal', 'Eleição', 'Deputado']"
Taylor Swift disse que Trump venceu as eleições de 2020 e que partido republicano trapaceou,Notícias - UOL,https://noticias.uol.com.br/confere/ultimas-noticias/2024/02/06/taylor-swift-nao-fez-manifestacao-a-favor-de-trump-e-contra-biden-no-grammy.htm,Falso,2024-02-06 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQw71CbGsNdkLta-Dpv-baw1lmPu3MXJ1QCR9iK3cTGqkDHLhdJ,"['Taylor Swift', 'Donald Trump', 'Partido Republicano', '2020', 'Eleição', 'Partido político']"
Klaus Schwab diz que a IA vai substituir os processos eleitorais,AFP Checamos,https://checamos.afp.com/doc.afp.com.34HJ364,Sem Contexto,2024-02-02 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTD3FrTwXzxmbFAngVZwpr2Pu-ZSQvFcr3ZmB2uyDBuX7gEIDWR,"['Klaus Schwab', 'Inteligência artificial', 'Eleição']"
Banner das eleições de 2022 mostra que Zema sempre apoiou Lula,Aos Fatos,https://www.aosfatos.org/noticias/posts-banner-avante-zema-lula/,não_é_bem_assim,2024-01-09 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcR0i8MHc_v6BLtMVOUXxtAMD5MElkhiZM3FCFqL8A29jOO2OeHY,"['Romeu Zema', 'Luiz Inácio Lula da Silva', 'Eleição', 'Eleições presidenciais brasileiras, 2022', '2022']"
"Netanyahu foi eleito ""assassino do ano"" pela revista Time.",Observador,https://observador.pt/factchecks/fact-check-netanyahu-eleito-assassino-do-ano-pela-revista-time/,Errado,2024-01-03 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Benjamin Netanyahu', 'Revista', 'Eleição', 'Ano']"
