Claim|Source Name|Source URL|Verdict|Review Publication Date|Image URL|Tags
PAPA FRANCISCO ENVIOU CARTA PARA JAIR BOLSONARO SOBRE AS ELEIÇÕES DE 2026|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/E-FALSO-QUE-PAPA-FRANCISCO-ENVIOU-RECADO-A-BOLSONARO-ANTES-DE-MORRER/|FALSO|2025-04-24 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCTNKIHZQLYREVYZUOADJ9SK03XTR-THIF3UDOB88CPTPKNFIAWL|['Papa Francisco', 'Jair Bolsonaro', 'Papa', 'Carta', 'Eleição']
APÓS ELEIÇÃO DE TRUMP, GILMAR MENDES DIZ QUE NÃO HOUVE TENTATIVA DE GOLPE|AFP CHECAMOS|HTTPS://CHECAMOS.AFP.COM/DOC.AFP.COM.42AU69D|FALSO|2025-04-14 07:00:00|HTTPS://ENCRYPTED-TBN0.GSTATIC.COM/IMAGES?Q=TBN:AND9GCRBRLCFXEDMRWSE7WU-YY56EOL3LH-B0ALZGAAAGXMPZLXG1BC6|['Gilmar Mendes', 'Golpe de Estado', 'Tentativa de golpe de Estado no Brasil em 2022–2023', 'Donald Trump', 'Eleição']
BOLSONARO CONTRARIA SEUS ELEITORES E CONFESSA QUE COPACABANA FLOPOU|UOL NOTÍCIAS|HTTPS://NOTICIAS.UOL.COM.BR/CONFERE/ULTIMAS-NOTICIAS/2025/04/01/POST-RECORTA-E-OMITE-CONTEXTO-DE-FALA-DE-BOLSONARO-COPACABANA-FLOPOU.HTM|FALSO|2025-04-01 07:00:00|HTTPS://ENCRYPTED-TBN2.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSXS33TEYS1QXOXP2FSVXKUU9W0GY2KIGXFW9VUREDYOXKQJF4M|['Jair Bolsonaro', 'Copacabana', 'Eleição']
QUANDO ACABARAM AS ÚLTIMAS ELEIÇÕES, A ÚLTIMA AGORA, EM 2022, O MEU PARTIDO PETICIONOU NO TSE. NO DIA SEGUINTE, O MINISTRO PRESIDENTE DO TSE, ALEXANDRE DE MORAES, NÃO ACEITOU, MANDOU ARQUIVAR E NOS DEU UMA MULTA DE 22 MILHÕES. ALGUÉM JÁ VIU ALGUM ADVOGADO SER MULTADO AÍ, POR PETICIONAR O PODER JUDICIÁRIO?|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Eleição', 'Presidente', 'Tribunal Superior Eleitoral', 'Ministro', 'Partido político', 'Alexandre de Moraes', '2022', 'Presidente do Tribunal Superior Eleitoral do Brasil', 'Poder judiciário']
BOLSONARO CONFESSOU: LULA FOI PRESO EM 2018 PARA EU VENCER AS ELEIÇÕES|UOL NOTÍCIAS|HTTPS://NOTICIAS.UOL.COM.BR/CONFERE/ULTIMAS-NOTICIAS/2025/03/22/BOLSONARO-NAO-DISSE-QUE-SO-VENCEU-ELEICAO-PORQUE-LULA-FOI-PRESO.HTM|FALSO|2025-03-22 07:00:00|HTTPS://ENCRYPTED-TBN0.GSTATIC.COM/IMAGES?Q=TBN:AND9GCQV-NDFFQW7XIQ89FCDFGQ3HCO7-7B_BCW99BLS2VWSS3IMPNFR|['Luiz Inácio Lula da Silva', 'Jair Bolsonaro', 'Eleição', 'Prisão', '2018']
BOLSONARO CONFESSOU QUE SÓ VENCEU ELEIÇÕES EM 2018 PORQUE LULA FOI PRESO|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/BOLSONARO-NAO-CONFESSOU-VENCEU-ELEICOES-2018-LULA-FOI-PRESO/|FALSO|2025-03-19 07:00:00|HTTPS://ENCRYPTED-TBN3.GSTATIC.COM/IMAGES?Q=TBN:AND9GCRQA6PNPJ0IBGXTJRCTICZJOLEBDKBKYE9T9JUWPLNUUJLNZ8-X|['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', 'Eleição', 'Prisão', 'Eleições presidenciais brasileiras, 2018', '2018']
"O CASO RUBENS PAIVA (QUE SÓ ANDAVA ARMADO ) VOLTOU A MÍDIA ATRAVÉS DO LAUREADO FILME ""AINDA ESTOU AQUI"". MAS QUEM ERA ESSE PERSONAGEM, CUJO O FILME RETRATA UM MÁRTIR, UM TIRADENTES MODERNO QUE MORREU PELA NOSSA LIBERDADE. NADA MAIS FALSO. O DEPUTADO RUBENS PAIVA, ELEITO PELO MDB, NA VERDADE ERA UM MILITANTE DO PCB (PARTIDO COMUNISTA BRASILEIRO)"|UOL NOTÍCIAS|HTTPS://NOTICIAS.UOL.COM.BR/CONFERE/ULTIMAS-NOTICIAS/2025/03/10/FALSO-RUBENS-PAIVA-PCB-VPR-CARLOS-LAMARCA.HTM|FALSO|2025-03-10 07:00:00|HTTPS://ENCRYPTED-TBN0.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSLE4RPI9_4XCCMSGZQYP5P2JN3OR5M22HSIENQSOKWWZ7HI1PC|['Rubens Paiva', 'Partido Comunista Brasileiro', 'Partido político', 'Deputado', 'PMDB', 'Brasil', 'Eleição']
URGENTE. ELON MUSK EXPÕE ESCÂNDALO: 20 MILHÕES DE IDOSOS ENTRE 100 E 159 ANOS RECEBEM PREVIDÊNCIA. COMO ISSO É POSSÍVEL?! FINALMENTE ENCONTRARAM OS LEITORES DE JOE BIDEN! QUEM LEMBRA DAS ELEIÇÕES DE 2020 VAI ENTENDER..|UOL NOTÍCIAS|HTTPS://NOTICIAS.UOL.COM.BR/CONFERE/ULTIMAS-NOTICIAS/2025/03/06/FALSO-MUSK-FRAUDE-PREVIDENCIA-EUA.HTM|FALSO|2025-03-06 08:00:00|HTTPS://ENCRYPTED-TBN0.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSXN5DUWNS3T35ZQWRT0C21DPEWT5NK8YS2PSHS42WL-5K023SU|['Elon Musk', 'Seguridade social', 'Joe Biden', 'Escândalo', 'Ano', 'Eleição', 'Idoso', '2020']
O POVO, EM GRANDE PARTE, TEVE ARMA, E DIMINUÍMOS EM QUASE 30% O NÚMERO DE MORTES POR ARMA DE FOGO NO BRASIL.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Morte', 'Arma', 'Brasil', 'Arma de fogo', 'Número', 'Fogo', '1930', 'O Povo']
[CONCLUSÃO DO INQUÉRITO DO PSDB:] AS URNAS SÃO INAUDITÁVEIS. NÃO SOU EU QUE DISSE ISSO.|AOS FATOS|HTTPS://WWW.AOSFATOS.ORG/NOTICIAS/APOS-SE-TORNAR-REU-BOLSONARO-MENTE-SOBRE-8-DE-JANEIRO-E-ELEICOES/|FALSO|2025-03-26 07:00:00|HTTPS://ENCRYPTED-TBN1.GSTATIC.COM/IMAGES?Q=TBN:AND9GCSRH4ZYLTX2R39ZH9DYV6KCPDZPUEBLPRY0UNXILJW-G6OAE4NO|['Urna eleitoral', 'PSDB', 'Partido da Social Democracia Brasileira', 'Inquérito policial']
